기간,순위,프로그램,시청률
2012년 10월 1주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",15.5
2012년 10월 1주,8,일일드라마(그래도당신),15.1
2012년 10월 1주,10,순간포착,14.9
2012년 10월 2주,6,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.6
2012년 10월 2주,8,일일드라마(그래도당신),15.6
2012년 10월 3주,6,일일드라마(그래도당신),17.2
2012년 10월 3주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",16.5
2012년 10월 4주,6,일일드라마(그래도당신),17.0
2012년 10월 4주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.0
2012년 11월 1주,6,일일드라마(그래도당신),18.0
2012년 11월 1주,9,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.2
2012년 11월 2주,4,일일드라마(그래도당신),19.3
2012년 11월 2주,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.6
2012년 11월 2주,9,놀라운대회스타킹,16.2
2012년 11월 2주,10,순간포착,15.4
2012년 11월 3주,6,일일드라마(그래도당신),18.1
2012년 11월 3주,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.6
2012년 11월 4주,7,일일드라마(그래도당신),17.2
2012년 11월 4주,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.0
2012년 12월 1주,7,일일드라마(그래도당신),16.9
2012년 12월 2주,8,일일드라마(그래도당신),16.7
2012년 12월 2주,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.6
2012년 12월 3주,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.6
2012년 12월 5주,8,SBS연예대상2부,16.3
2013년 1월 1주,6,정글의법칙IN아마존,17.1
2013년 1월 1주,7,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.3
2013년 1월 2주,7,정글의법칙IN아마존,17.0
2013년 1월 2주,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.0
2013년 1월 3주,6,정글의법칙IN아마존,17.4
2013년 1월 3주,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.5
2013년 1월 4주,5,정글의법칙IN아마존,19.3
2013년 1월 4주,8,순간포착,16.3
2013년 1월 4주,9,특별기획(청담동앨리스),16.1
2013년 1월 4주,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.9
2013년 2월 1주,7,정글의법칙IN아마존,18.4
2013년 2월 1주,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.3
2013년 2월 2주,5,정글의법칙IN아마존,18.1
2013년 2월 2주,9,순간포착,15.6
2013년 2월 3주,7,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.7
2013년 2월 3주,8,SBS월화드라마(야왕),16.3
2013년 2월 3주,9,정글의법칙IN갈라파고스,15.3
2013년 2월 3주,10,순간포착,15.2
2013년 2월 4주,6,SBS월화드라마(야왕),19.0
2013년 2월 4주,8,정글의법칙IN갈라파고스,16.8
2013년 3월 1주,7,SBS월화드라마(야왕),17.6
2013년 3월 1주,8,정글의법칙IN갈라파고스,15.2
2013년 3월 1주,10,순간포착,14.7
2013년 3월 2주,6,SBS월화드라마(야왕),17.4
2013년 3월 2주,7,정글의법칙IN뉴질랜드,16.4
